mode,M,N,frames,h2d_ms,kernel_ms,d2h_ms,total_gpu_ms
pageable,128,100,100,3.967424,0.426816,1.290592,5.684832
pinned,128,100,100,2.349824,1.111744,1.618752,5.080319
pageable,128,100,100,2.482880,0.415808,1.668512,4.567200
pinned,128,100,100,1.568192,1.111872,1.600576,4.280640
pageable,128,100,100,2.363425,0.418720,1.641952,4.424097
pinned,128,100,100,1.762688,1.092192,1.483776,4.338656
pageable,256,100,100,3.923552,1.035840,2.854272,7.813663
pinned,256,100,100,2.334625,1.118848,2.191584,5.645057
pageable,256,100,100,3.218016,0.561856,2.830976,6.610848
pinned,256,100,100,1.930624,0.544032,1.539392,4.014048
pageable,256,100,100,3.190176,0.558208,2.782720,6.531104
pinned,256,100,100,2.062752,1.091584,1.913024,5.067360
pageable,512,100,100,10.137440,0.848672,8.629888,19.615999
pinned,512,100,100,4.910847,0.784128,3.783520,9.478495
pageable,512,100,100,10.155008,0.847520,8.629439,19.631968
pinned,512,100,100,4.941440,0.822464,3.787552,9.551455
pageable,512,100,100,11.965855,0.730368,7.930687,20.626909
pinned,512,100,100,4.961473,1.257312,4.204640,10.423426
pageable,1024,100,100,33.084099,1.903808,23.817112,58.805019
pinned,1024,100,100,16.778563,1.831808,12.830942,31.441313
pageable,1024,100,100,31.296282,1.871008,24.630716,57.798004
pinned,1024,100,100,16.782307,1.860096,12.824862,31.467266
pageable,1024,100,100,29.014570,1.841440,23.422014,54.278023
pinned,1024,100,100,16.791008,1.971808,12.885406,31.648222
pageable,2048,100,100,94.346649,5.951968,77.029114,177.327728
pinned,2048,100,100,65.733536,5.917279,48.835918,120.486740
pageable,2048,100,100,129.777084,5.902177,69.941643,205.620911
pinned,2048,100,100,70.401657,6.000128,48.817856,125.219643
pageable,2048,100,100,120.354744,5.895969,71.323967,197.574677
pinned,2048,100,100,67.966515,5.960320,48.802090,122.728928
